nome,partido,uf,ano,pla ,par ,vnp ,dp ,pp ,aup ,aNj ,pcom ,ajcom ,aNjcom 
ALEX MARCO SANTANA SOUSA,REPUBLICANOS,BA,2021,46,19,740,3,126,0,6,29,8,59
ALEX MARCO SANTANA SOUSA,REPUBLICANOS,BA,2022,9,0,332,3,62,8,5,9,5,6
ALICE MAZZUCO PORTUGAL,PCdoB,BA,2019,436,5,305,203,109,3,1,233,14,121
ALICE MAZZUCO PORTUGAL,PCdoB,BA,2020,289,2,394,291,100,1,1,229,0,87
ALICE MAZZUCO PORTUGAL,PCdoB,BA,2021,302,15,762,356,132,0,0,220,0,87
ALICE MAZZUCO PORTUGAL,PCdoB,BA,2022,79,5,356,132,74,0,1,62,0,22
ANDERSON MACHADO DE JESUS,UNIÃO,BA,2019,31,3,169,0,78,20,15,47,17,51
ANDERSON MACHADO DE JESUS,UNIÃO,BA,2020,3,0,356,0,87,3,12,28,8,65
ANDERSON MACHADO DE JESUS,UNIÃO,BA,2021,25,0,641,0,105,6,21,28,8,67
ANDERSON MACHADO DE JESUS,UNIÃO,BA,2022,8,0,251,0,54,6,15,0,5,12
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,2019,60,5,303,12,106,5,2,82,18,183
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,2020,16,0,394,8,100,1,1,48,9,107
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,2021,210,2,762,32,131,1,0,48,9,108
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,2022,134,1,356,33,75,0,0,9,0,19
ARTHUR DE OLIVEIRA MAIA DA SILVA,UNIÃO,BA,2019,133,3,252,15,85,15,13,105,27,10
ARTHUR DE OLIVEIRA MAIA DA SILVA,UNIÃO,BA,2020,22,1,390,15,92,9,1,82,13,3
ARTHUR DE OLIVEIRA MAIA DA SILVA,UNIÃO,BA,2021,32,5,705,6,116,11,5,79,8,2
ARTHUR DE OLIVEIRA MAIA DA SILVA,UNIÃO,BA,2022,8,3,304,4,69,6,5,22,3,0
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,BA,2019,242,1,301,36,102,0,11,81,2,45
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,BA,2020,13,1,394,33,101,1,0,73,5,28
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,BA,2021,344,1,751,78,130,2,0,70,4,28
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,BA,2022,26,0,268,5,54,4,17,12,3,13
CARLOS TITO MARQUES CORDEIRO,AVANTE,BA,2019,369,4,314,39,110,2,1,142,1,5
CARLOS TITO MARQUES CORDEIRO,AVANTE,BA,2020,4,0,255,6,64,1,0,135,0,14
CARLOS TITO MARQUES CORDEIRO,AVANTE,BA,2021,63,3,762,6,132,0,0,135,0,14
CARLOS TITO MARQUES CORDEIRO,AVANTE,BA,2022,14,1,354,1,75,0,0,26,0,6
CHARLES FERNANDES SILVEIRA SANTANA,PSD,BA,2019,165,5,290,117,106,7,0,156,11,67
CHARLES FERNANDES SILVEIRA SANTANA,PSD,BA,2020,5,0,394,30,100,1,1,150,2,30
CHARLES FERNANDES SILVEIRA SANTANA,PSD,BA,2021,11,0,758,104,129,2,1,151,2,30
CHARLES FERNANDES SILVEIRA SANTANA,PSD,BA,2022,13,0,356,35,73,1,1,33,0,5
CLÁUDIO CAJADO SAMPAIO,PP,BA,2019,27,1,253,30,91,21,1,83,10,3
CLÁUDIO CAJADO SAMPAIO,PP,BA,2020,5,0,394,34,101,1,0,134,5,3
CLÁUDIO CAJADO SAMPAIO,PP,BA,2021,34,2,694,44,124,7,1,134,5,3
CLÁUDIO CAJADO SAMPAIO,PP,BA,2022,22,2,326,12,67,7,1,22,2,1
DANIEL GOMES DE ALMEIDA,PCdoB,BA,2019,464,7,289,176,100,12,1,83,9,58
DANIEL GOMES DE ALMEIDA,PCdoB,BA,2020,183,0,394,120,99,3,0,87,4,69
DANIEL GOMES DE ALMEIDA,PCdoB,BA,2021,161,12,745,175,127,3,2,87,4,69
DANIEL GOMES DE ALMEIDA,PCdoB,BA,2022,39,3,354,110,73,1,1,31,0,30
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,UNIÃO,BA,2019,72,3,312,11,110,3,0,178,7,1
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,UNIÃO,BA,2020,25,0,381,3,98,4,0,156,13,27
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,UNIÃO,BA,2021,26,1,762,4,131,0,1,155,13,27
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,UNIÃO,BA,2022,17,0,298,0,51,16,8,20,13,11
ELMAR JOSE VIEIRA NASCIMENTO,UNIÃO,BA,2019,76,0,282,11,83,30,0,10,20,39
ELMAR JOSE VIEIRA NASCIMENTO,UNIÃO,BA,2020,22,2,387,4,100,1,1,14,0,46
ELMAR JOSE VIEIRA NASCIMENTO,UNIÃO,BA,2021,16,1,727,14,120,0,12,14,0,46
ELMAR JOSE VIEIRA NASCIMENTO,UNIÃO,BA,2022,170,2,302,8,57,18,0,1,0,0
FELIX DE ALMEIDA MENDONÇA JÚNIOR,PDT,BA,2019,335,3,299,4,105,8,0,126,5,24
FELIX DE ALMEIDA MENDONÇA JÚNIOR,PDT,BA,2020,24,0,376,0,97,4,1,186,7,28
FELIX DE ALMEIDA MENDONÇA JÚNIOR,PDT,BA,2021,71,11,760,3,130,0,2,187,7,28
FELIX DE ALMEIDA MENDONÇA JÚNIOR,PDT,BA,2022,13,0,342,0,69,6,0,19,7,15
JOAO CARLOS BACELAR BATISTA,PV,BA,2019,394,4,290,74,101,1,11,130,2,84
JOAO CARLOS BACELAR BATISTA,PV,BA,2020,65,0,394,26,97,4,1,137,10,102
JOAO CARLOS BACELAR BATISTA,PV,BA,2021,109,6,762,19,131,0,1,128,9,101
JOAO CARLOS BACELAR BATISTA,PV,BA,2022,52,5,341,91,69,6,0,21,6,16
JOÃO CARLOS PAOLILO BACELAR FILHO,PL,BA,2019,171,2,293,7,95,16,2,125,15,64
JOÃO CARLOS PAOLILO BACELAR FILHO,PL,BA,2020,75,0,380,0,91,6,5,72,6,44
JOÃO CARLOS PAOLILO BACELAR FILHO,PL,BA,2021,45,0,728,0,127,2,3,71,6,44
JOÃO CARLOS PAOLILO BACELAR FILHO,PL,BA,2022,14,0,344,0,74,1,0,22,1,17
JOÃO INÁCIO RIBEIRO ROMA NETO,PL,BA,2019,404,27,313,22,104,7,2,217,6,16
JOÃO INÁCIO RIBEIRO ROMA NETO,PL,BA,2020,104,1,394,23,101,1,0,24,0,7
JOÃO INÁCIO RIBEIRO ROMA NETO,PL,BA,2021,1,0,38,1,7,0,6,19,0,7
JOÃO INÁCIO RIBEIRO ROMA NETO,PL,BA,2022,14,1,206,2,48,0,3,19,0,7
JOCEVAL RODRIGUES DOS SANTOS,CIDADANIA,BA,2019,0,0,0,0,0,0,0,0,0,0
JOCEVAL RODRIGUES DOS SANTOS,CIDADANIA,BA,2020,0,0,0,0,0,0,0,0,0,0
JOCEVAL RODRIGUES DOS SANTOS,CIDADANIA,BA,2021,0,0,0,0,0,0,0,0,0,0
JOCEVAL RODRIGUES DOS SANTOS,CIDADANIA,BA,2022,1,0,22,1,2,0,0,0,0,0
JORGE JOSE SANTOS PEREIRA SOLLA,PT,BA,2019,470,12,301,139,102,10,1,243,34,36
JORGE JOSE SANTOS PEREIRA SOLLA,PT,BA,2020,580,0,386,88,99,2,1,287,37,14
JORGE JOSE SANTOS PEREIRA SOLLA,PT,BA,2021,472,31,664,129,114,18,0,281,37,14
JORGE JOSE SANTOS PEREIRA SOLLA,PT,BA,2022,102,5,336,46,68,6,1,39,7,2
JOSÉ ALVES ROCHA,UNIÃO,BA,2019,150,2,281,31,91,19,3,129,17,75
JOSÉ ALVES ROCHA,UNIÃO,BA,2020,4,0,352,19,93,7,2,163,14,76
JOSÉ ALVES ROCHA,UNIÃO,BA,2021,24,9,748,21,126,3,3,162,14,77
JOSÉ ALVES ROCHA,UNIÃO,BA,2022,18,0,343,18,68,7,0,38,9,26
JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,2019,358,5,289,108,102,7,4,155,3,6
JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,2020,126,0,386,43,95,5,2,210,0,17
JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,2021,171,13,762,142,131,0,1,209,0,17
JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,2022,50,3,341,91,66,3,6,45,0,7
JOSÉ MARCELO DO NASCIMENTO NILO,REPUBLICANOS,BA,2019,398,4,317,89,110,0,3,120,1,21
JOSÉ MARCELO DO NASCIMENTO NILO,REPUBLICANOS,BA,2020,55,0,392,6,96,3,3,71,2,8
JOSÉ MARCELO DO NASCIMENTO NILO,REPUBLICANOS,BA,2021,26,0,761,13,131,0,1,69,2,8
JOSÉ MARCELO DO NASCIMENTO NILO,REPUBLICANOS,BA,2022,7,0,313,0,63,6,6,11,2,0
JOSEILDO RIBEIRO RAMOS,PT,BA,2019,219,2,290,89,94,1,3,99,1,38
JOSEILDO RIBEIRO RAMOS,PT,BA,2020,198,0,394,66,98,3,1,103,0,56
JOSEILDO RIBEIRO RAMOS,PT,BA,2021,112,3,762,135,131,1,0,100,0,55
JOSEILDO RIBEIRO RAMOS,PT,BA,2022,30,0,336,63,67,2,6,27,0,1
JOSIAS GOMES DA SILVA,PT,BA,2019,0,0,3,0,8,4,3,0,0,0
JOSIAS GOMES DA SILVA,PT,BA,2020,0,0,0,0,0,0,0,14,6,6
JOSIAS GOMES DA SILVA,PT,BA,2021,0,0,0,0,1,0,1,14,6,6
JOSIAS GOMES DA SILVA,PT,BA,2022,0,0,191,0,36,14,1,14,6,6
LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,UNIÃO,BA,2019,301,0,293,25,106,4,3,242,10,63
LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,UNIÃO,BA,2020,7,0,386,4,99,2,1,200,14,100
LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,UNIÃO,BA,2021,46,7,737,2,124,3,5,193,14,99
LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,UNIÃO,BA,2022,5,0,332,1,65,5,5,21,11,35
LÍDICE DA MATA E SOUZA,PSB,BA,2019,364,10,288,48,103,7,3,177,9,51
LÍDICE DA MATA E SOUZA,PSB,BA,2020,226,0,392,51,94,5,3,217,4,30
LÍDICE DA MATA E SOUZA,PSB,BA,2021,271,13,759,122,129,0,3,218,4,30
LÍDICE DA MATA E SOUZA,PSB,BA,2022,153,11,348,65,72,3,0,50,4,0
MANOEL ISIDORIO DE SANTANA JUNIOR,AVANTE,BA,2019,295,1,310,97,106,1,6,119,1,42
MANOEL ISIDORIO DE SANTANA JUNIOR,AVANTE,BA,2020,13,0,384,23,96,4,2,128,13,43
MANOEL ISIDORIO DE SANTANA JUNIOR,AVANTE,BA,2021,34,0,686,15,122,8,2,128,13,46
MANOEL ISIDORIO DE SANTANA JUNIOR,AVANTE,BA,2022,10,0,347,83,72,3,0,18,4,18
MÁRCIO CARLOS MARINHO,REPUBLICANOS,BA,2019,298,2,280,7,100,9,4,128,15,63
MÁRCIO CARLOS MARINHO,REPUBLICANOS,BA,2020,20,0,377,5,98,4,0,130,10,52
MÁRCIO CARLOS MARINHO,REPUBLICANOS,BA,2021,40,4,756,8,130,2,0,127,10,50
MÁRCIO CARLOS MARINHO,REPUBLICANOS,BA,2022,10,2,298,1,60,7,8,19,5,6
MARIO S. M. NEGROMONTE JR.,PP,BA,2019,254,2,294,5,97,16,0,66,11,29
MARIO S. M. NEGROMONTE JR.,PP,BA,2020,34,0,394,2,100,2,0,83,10,18
MARIO S. M. NEGROMONTE JR.,PP,BA,2021,67,0,744,3,124,5,3,83,10,18
MARIO S. M. NEGROMONTE JR.,PP,BA,2022,9,0,302,1,54,19,2,7,8,6
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,PSD,BA,2019,85,4,314,20,111,2,0,217,0,12
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,PSD,BA,2020,37,1,394,20,101,1,0,101,3,15
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,PSD,BA,2021,98,19,761,19,131,1,0,100,3,15
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,PSD,BA,2022,33,4,341,9,68,7,0,35,3,4
PAULO SÉRGIO PARANHOS DE MAGALHÃES,PSD,BA,2019,97,4,241,7,75,3,0,128,0,21
PAULO SÉRGIO PARANHOS DE MAGALHÃES,PSD,BA,2020,4,0,394,1,100,2,0,147,7,40
